fraction remaining,fraction lost,time (Myr),log10mantle ST,34R,d34 mantle,34R space,d34 space,34R space total,d34 space total,33R,d33 mantle,33R space,d33 space,33R space total,d33 space total,36R,d36 mantle,36R space,d36 space,36R space total,d36 space total,D33 mantle,D33S space,D33S total space,D36 mantle,D36 space,D36 total space,log10space
0.56,0.44,2.03E+03,21.6626399,0.046344707,49.41101327,0.042489773,-37.87856877,0.041387716,-62.83311746,0.008074022,24.9809137,0.007730434,-18.63682306,0.007627008,-31.76663841,0.000168371,96.93391093,0.000141504,-78.09871938,0.000134571,-123.2671976,-0.46575813,0.87063986,0.592417083,3.052985728,-6.129438718,-3.884274455,21.55790455
0.55,0.45,2.08E+03,21.65481457,0.046414219,50.98502032,0.042553504,-36.43548698,0.041413059,-62.25925592,0.008080215,25.76714152,0.007736364,-17.88405291,0.007629385,-31.46484307,0.000168855,100.0922755,0.000141912,-75.44432031,0.000134731,-122.2275699,-0.490143945,0.880222883,0.598673731,3.220736907,-6.216895044,-3.934983599,21.56766439
0.54,0.46,2.12E+03,21.64684564,0.046485114,52.5903361,0.042618501,-34.96370072,0.041438707,-61.67849943,0.008086527,26.56841614,0.007742407,-17.11687629,0.00763179,-31.15956718,0.00016935,103.3179407,0.000142328,-72.73335945,0.000134893,-121.1745015,-0.515606956,0.889429586,0.604860026,3.396302159,-6.302328077,-3.98535263,21.57720971
0.53,0.47,2.17E+03,21.63872775,0.046557446,54.22818074,0.042684816,-33.46209134,0.041464667,-61.0906576,0.008092962,27.38531228,0.007748568,-16.33474289,0.007634223,-30.85071668,0.000169856,106.6136275,0.000142753,-69.96355006,0.000135056,-120.1076067,-0.542200795,0.898234146,0.610971986,3.580084113,-6.385576516,-4.035357294,21.58654973
0.52,0.48,2.22E+03,21.63045522,0.046631271,55.8998461,0.042752501,-31.92947442,0.04149095,-60.49553141,0.008099525,28.21843804,0.007754852,-15.53707054,0.007636684,-30.53819328,0.000170373,109.9822207,0.000143188,-67.13246755,0.000135222,-119.0264814,-0.569982704,0.906608784,0.61700539,3.772513144,-6.466466153,-4.084971761,21.59569311
0.51,0.49,2.26E+03,21.62202205,0.04670665,57.60670146,0.04282161,-30.3645946,0.041517563,-59.89291267,0.00810622,29.0684374,0.007761263,-14.72324263,0.007639176,-30.22189427,0.000170902,113.4267826,0.000143632,-64.23753836,0.000135391,-117.9307026,-0.599013852,0.914523586,0.622955754,3.974049831,-6.544808627,-4.134168498,21.60464796
0.5,0.5,2.31E+03,21.61342188,0.046783647,59.35019978,0.042892203,-28.76611976,0.041544517,-59.2825834,0.008113054,29.93599321,0.007767806,-13.89260538,0.007641698,-29.90171214,0.000171443,116.9505673,0.000144087,-61.2760276,0.000135561,-116.8198266,-0.629359676,0.921946293,0.628818314,4.185187679,-6.620400053,-4.182918137,21.61342188
0.49,0.51,2.35E+03,21.60464796,0.046862331,61.13188459,0.042964342,-27.13263477,0.041571821,-58.66431516,0.008120032,30.82183029,0.007774487,-13.04446482,0.007644252,-29.5775343,0.000171996,120.5570369,0.000144552,-58.24502553,0.000135734,-115.6933881,-0.661090274,0.928842087,0.634588002,4.406456144,-6.693019473,-4.231189316,21.62202205
0.48,0.52,2.40E+03,21.59569311,0.046942774,62.95339766,0.043038093,-25.46263442,0.041599486,-58.03786835,0.00812716,31.72671896,0.007781311,-12.17808339,0.007646838,-29.24924278,0.000172563,124.2498796,0.000145028,-55.14143253,0.000135909,-114.5508984,-0.694280829,0.935173331,0.640259423,4.638424011,-6.762427136,-4.27894852,21.63045522
0.47,0.53,2.45E+03,21.58654973,0.047025053,64.81648742,0.043113528,-23.7545157,0.041627524,-57.40299145,0.008134445,32.65147893,0.007788286,-11.29267629,0.007649457,-28.91671377,0.000173144,128.0330292,0.000145516,-51.9619424,0.000136087,-113.3918436,-0.729012093,0.940899293,0.645826828,4.881703152,-6.828362559,-4.326159891,21.63872775
